Temperature_C,Humidity_Percent,CO_ppm
15.18,74.13,41.76
24.34,54.26,40.63
18.15,28.81,19.24
14.97,79.94,22.99
8.3,55.31,26.24
20.52,87.3,42.85
9.07,90.8,12.64
34.05,67.66,35.79
38.0,39.34,43.88
6.09,59.9,20.84
28.54,43.96,32.06
14.09,35.98,4.63
16.24,50.43,17.42
35.91,47.27,20.18
-11.09,62.63,16.22
-10.21,81.58,7.78
-13.89,42.27,2.93
30.79,50.02,18.66
27.8,79.98,24.92
32.85,29.89,42.43
38.82,24.79,3.54
28.95,57.43,20.27
10.38,79.83,4.52
27.93,44.12,9.8
-8.49,64.29,11.16
20.2,15.77,34.16
-7.12,85.91,24.49
36.96,62.06,33.78
13.7,35.17,10.79
7.81,21.1,2.31
-0.45,32.51,13.0
27.58,64.05,36.29
10.09,67.2,2.54
16.26,70.41,26.08
-13.97,81.02,7.09
18.97,56.77,40.22
18.67,34.48,3.09
18.93,90.69,20.52
36.91,23.84,42.53
22.5,37.91,7.94
4.77,70.65,3.73
9.04,62.24,27.39
23.37,57.42,37.47
-11.69,23.93,40.04
21.67,91.39,17.7
21.89,26.53,4.73
-3.43,40.76,26.14
-7.91,44.77,39.17
2.35,33.3,37.05
5.0,37.67,22.53
16.36,69.5,5.65
9.12,74.94,36.41
39.36,60.82,4.61
-9.39,82.29,3.44
-3.51,70.79,37.7
-6.13,51.09,24.58
20.92,61.79,44.18
-1.07,49.48,41.41
10.65,89.15,7.76
-1.56,53.51,23.14
-6.26,19.53,6.16
-8.93,17.68,29.08
21.1,48.1,7.3
-7.4,20.91,39.85
-4.19,83.77,26.78
5.28,88.16,19.8
30.15,24.73,25.97
-9.66,55.81,10.36
31.09,41.18,43.09
-9.71,83.25,17.25
38.71,18.06,10.81
10.78,90.29,30.49
38.72,81.95,0.96
18.27,21.87,37.42
25.66,81.45,28.79
-12.84,68.59,15.43
0.55,34.61,23.99
-8.39,61.45,2.09
1.29,33.43,1.42
-8.47,33.69,36.5
2.49,71.36,38.85
7.78,32.89,34.6
-11.47,47.99,8.15
23.09,92.67,42.85
16.16,90.97,1.72
-0.4,66.52,13.25
13.78,64.64,26.65
-9.83,32.21,11.45
16.68,25.34,34.82
36.11,20.03,12.93
2.52,40.5,32.23
21.71,41.6,7.73
-7.75,53.49,21.55
24.4,36.88,1.57
0.92,56.46,2.42
-4.92,33.69,26.21
17.26,28.77,21.64
-13.89,46.06,41.76
30.59,90.07,38.58
-14.74,32.85,23.52
22.28,82.5,38.62
-0.15,51.97,24.63
25.44,82.97,33.72
37.92,72.82,29.79
-1.32,18.74,9.54
16.69,90.8,1.73
17.56,19.3,22.08
16.47,71.45,13.37
-2.73,79.04,24.71
37.4,35.81,21.83
9.59,28.22,2.49
31.55,64.31,35.33
23.47,90.73,2.96
1.36,81.1,43.83
29.76,20.03,23.54
6.81,82.78,4.01
33.46,41.9,15.47
16.97,79.53,10.01
33.5,16.36,26.84
23.09,61.83,14.75
24.89,58.2,10.34
12.57,15.77,33.57
37.58,57.78,44.12
20.42,33.38,34.03
8.31,15.4,16.86
18.35,57.89,1.89
-13.94,41.84,44.65
1.59,76.32,44.82
21.31,79.4,23.28
0.95,21.22,10.91
18.99,47.69,25.3
8.58,47.67,24.02
-7.55,31.72,0.48
1.41,61.0,26.88
16.35,70.41,22.59
17.5,21.77,20.97
16.59,54.3,36.03
20.93,51.61,20.34
20.87,38.78,13.56
8.73,36.99,20.62
34.31,42.44,14.12
5.22,53.24,7.29
8.97,36.41,25.97
34.06,57.03,39.51
29.34,74.2,41.47
23.71,45.96,0.84
-9.49,24.71,4.89
35.57,65.93,13.6
24.28,70.43,11.11
39.94,34.81,21.17
-6.78,80.51,11.04
32.75,36.48,0.04
-6.06,72.27,11.36
18.86,32.67,43.97
-8.19,48.32,12.9
31.64,75.02,26.53
29.4,35.66,23.9
16.3,72.91,29.61
7.4,43.71,5.66
-11.2,92.98,3.67
23.36,34.7,20.21
9.94,23.34,39.18
24.71,47.95,42.11
32.65,71.17,13.7
38.65,89.53,14.87
32.07,67.03,17.0
-14.36,57.17,32.71
4.8,74.47,34.27
25.15,62.04,31.43
-5.56,68.24,38.74
13.66,58.36,31.41
-12.01,36.66,28.62
-4.0,73.96,42.34
-13.98,50.54,4.2
28.65,44.92,14.85
-2.68,15.17,9.34
3.99,42.43,12.06
36.04,85.83,5.97
23.74,18.72,43.84
-13.25,25.99,4.59
-5.94,68.94,27.63
19.18,64.71,20.84
16.75,62.97,18.82
-1.92,57.75,12.04
36.38,62.35,25.86
18.77,67.94,8.55
14.46,55.81,40.58
17.45,64.02,18.21
25.16,15.96,17.12
2.16,52.11,11.58
6.9,47.95,23.01
-3.46,75.51,35.79
-4.76,32.64,13.49
36.94,75.0,36.49
25.68,54.24,44.96
11.98,67.01,44.76
-2.49,18.68,7.56
-1.01,78.65,20.03
-11.81,57.79,34.57
8.89,60.74,7.38
2.15,31.03,15.38
23.3,80.99,42.58
5.78,36.58,40.37
-5.12,80.11,34.75
-13.64,85.88,31.06
-11.3,77.27,13.2
22.37,88.17,21.9
9.95,29.38,38.94
14.51,30.17,33.56
34.32,82.98,44.35
39.47,51.56,32.89
-3.07,24.82,26.48
21.47,23.29,2.09
-0.52,54.18,17.87
-13.86,65.07,17.21
26.71,78.71,16.0
2.6,59.82,26.53
6.09,18.43,17.25
17.36,90.2,43.22
30.71,57.47,4.96
19.59,32.2,32.35
33.0,44.85,11.48
0.04,43.33,12.65
28.89,58.51,24.28
-4.79,79.97,14.09
37.4,89.45,31.74
22.81,25.22,2.22
-3.15,49.48,14.66
37.11,43.4,29.55
25.2,38.58,33.89
-1.03,68.87,9.16
-3.27,51.56,35.61
13.5,67.79,33.14
-13.59,91.92,36.8
-3.59,50.56,22.33
8.36,90.51,0.08
5.58,27.94,14.83
10.5,78.01,26.13
0.27,19.01,38.35
17.27,31.31,20.34
32.51,39.58,42.47
-8.54,27.47,26.52
13.46,53.22,0.5
-7.74,39.45,4.17
24.43,62.28,3.13
6.78,35.5,8.3
16.1,23.38,25.99
-4.92,29.67,5.29
-7.03,53.96,35.98
11.84,20.77,15.64
4.56,43.87,1.38
36.72,54.4,33.06
27.09,66.24,4.26
26.18,71.39,7.7
34.7,69.47,5.46
-10.41,91.37,34.67
15.37,24.56,3.93
17.15,65.5,23.83
37.91,28.7,13.6
1.07,81.28,43.89
-1.75,52.03,25.76
-9.48,61.93,33.73
-14.1,89.93,35.29
36.12,43.56,6.99
21.85,60.25,7.5
28.18,33.82,34.99
0.5,53.4,21.78
17.25,31.9,6.87
-11.48,39.9,31.9
11.71,90.93,42.11
38.76,34.79,27.65
33.21,16.89,29.48
3.6,65.0,10.18
37.89,70.56,13.71
-2.26,16.47,25.27
37.21,56.8,44.3
36.78,36.83,0.24
28.96,48.61,5.64
19.67,68.21,38.68
33.09,82.84,6.21
1.12,41.11,27.7
31.69,87.34,18.02
18.98,49.3,8.59
-14.27,74.98,36.36
4.1,19.85,44.96
-6.85,77.06,42.41
39.0,81.78,14.73
11.31,38.0,3.76
12.36,29.06,16.31
20.17,78.47,0.67
5.27,19.31,30.93
-7.47,16.35,19.12
30.22,89.32,36.18
-4.56,57.88,39.85
13.12,76.56,30.81
-2.66,26.88,37.3
-9.62,61.52,28.65
32.42,45.64,20.09
38.51,28.14,28.06
37.85,56.55,44.68
34.86,31.27,19.23
27.57,15.57,12.86
3.32,85.95,3.7
-10.54,23.73,22.43
7.4,53.35,4.74
-2.23,91.76,14.94
-7.71,18.26,38.62
-12.06,63.48,5.91
24.91,18.43,36.38
-14.37,57.96,17.33
27.38,37.2,8.59
-6.92,35.84,10.05
-10.63,49.91,5.65
-10.07,70.41,35.22
21.96,59.38,2.55
-1.5,61.41,34.75
8.13,37.65,29.13
15.66,74.32,41.99
32.33,17.95,31.11
24.99,85.5,15.26
-0.13,87.56,25.18
-7.77,16.41,32.6
-11.95,32.53,22.68
1.59,41.87,37.05
-0.58,40.97,23.74
10.09,52.27,17.56
22.58,83.36,3.47
23.26,83.75,10.97
0.59,92.46,9.44
5.9,24.95,30.6
-5.04,15.19,13.67
28.37,83.5,8.28
-11.87,77.69,30.33
23.33,59.82,18.35
27.83,24.29,12.2
27.76,44.56,5.49
-0.73,22.12,41.15
5.56,68.81,7.87
17.32,60.3,33.52
0.01,79.7,2.72
5.4,67.63,40.66
-4.16,31.15,43.78
10.29,76.29,35.69
-12.55,83.29,4.78
28.99,34.91,11.33
-10.77,23.96,14.54
13.54,66.72,32.05
1.87,70.13,30.9
16.76,18.75,22.84
37.77,44.82,21.31
20.51,57.88,23.61
-13.06,82.25,18.53
8.67,40.1,13.07
13.05,67.43,36.69
14.49,54.5,18.12
22.48,65.07,21.29
0.27,18.45,41.07
-7.91,41.02,21.43
6.6,39.92,29.69
37.6,16.37,1.63
-4.71,51.46,39.69
34.72,32.24,40.0
14.91,62.18,7.69
10.13,31.13,18.79
33.51,87.6,14.79
10.22,25.41,22.76
24.83,52.7,7.59
6.95,30.91,43.11
34.72,36.28,44.41
22.95,88.73,20.93
23.48,85.33,10.79
3.02,28.14,13.67
26.62,47.29,31.42
19.98,40.15,44.38
-1.8,27.08,2.53
-6.17,22.08,36.28
28.8,32.14,24.94
37.75,53.75,37.7
10.2,59.89,28.39
17.5,30.28,30.59
32.17,24.55,31.52
10.15,32.88,15.39
37.35,46.41,34.07
16.67,49.31,18.91
30.14,47.83,18.68
34.99,31.75,39.67
29.85,56.78,5.23
-6.23,39.95,27.42
19.59,21.14,44.1
6.91,65.66,23.31
-11.55,60.9,12.94
8.32,81.17,32.85
-0.77,22.83,21.46
31.7,58.49,15.12
-13.17,91.58,21.65
37.74,19.77,35.23
4.55,45.1,30.08
4.62,72.75,21.1
-14.1,86.27,7.23
-4.81,59.25,2.62
7.07,22.56,1.25
36.11,48.11,31.42
-9.52,31.23,24.91
36.99,72.1,22.1
32.82,25.92,30.46
9.98,39.71,3.19
2.97,61.21,7.29
-2.2,91.49,26.31
18.8,57.08,30.93
-13.18,29.79,16.91
-14.14,58.83,40.64
8.58,76.4,0.75
-11.26,30.59,29.79
-1.14,32.38,19.11
-2.84,24.74,5.99
-1.07,77.04,39.01
-7.79,62.47,3.89
-14.34,82.13,10.7
-8.65,87.3,10.39
19.02,21.22,11.24
38.58,23.67,38.84
39.47,65.55,32.45
7.5,44.93,43.17
-6.04,36.13,9.87
20.13,45.37,0.78
11.97,47.65,10.33
39.42,85.52,21.92
-11.41,28.09,11.54
28.08,15.08,40.43
0.86,48.73,1.74
-1.72,17.48,30.87
21.44,59.74,28.54
-1.47,61.14,22.72
21.62,57.37,15.72
13.45,24.63,30.16
8.32,60.77,25.58
15.51,30.66,0.7
0.79,32.2,5.12
23.86,68.74,15.41
7.82,90.2,44.76
4.83,80.47,33.33
30.58,69.95,12.19
35.87,82.49,19.02
-12.47,83.5,21.13
-2.21,50.62,31.67
